section_code,section_number,title,description,category,punishment,source
BNS-296,296,Obscene acts and songs,Section 296: Obscene acts and songs,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=296&orderno=
BNSS-296,296,Power of Court in plea bargaining,Section 296: Power of Court in plea bargaining,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=296&orderno=
BNS-297,297,Keeping lottery office,Section 297: Keeping lottery office,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=297&orderno=
BNSS-297,297,Period of detention undergone by accused to be set off against sentence of imprisonment,Section 297: Period of detention undergone by accused to be set off against sentence of imprisonment,Of Offences Affecting the Human Body,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=297&orderno=
BNS-298,298,Injuring or defiling place of worship with intent to insult religion of any class,Section 298: Injuring or defiling place of worship with intent to insult religion of any class,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=298&orderno=
BNSS-298,298,Savings,Section 298: Savings,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=298&orderno=
BNS-299,299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs","Section 299: Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs",Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=299&orderno=
BNSS-299,299,Statements of accused not to be used,Section 299: Statements of accused not to be used,Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=299&orderno=
BNS-3,3,General explanations,Section 3: General explanations,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=3&orderno=
BNSS-3,3,Construction of references,Section 3: Construction of references,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=3&orderno=
EVIDENCE-3,3,Evidence may be given of facts in issue and relevant facts,Section 3: Evidence may be given of facts in issue and relevant facts,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=3&orderno=
BNS-30,30,Act done in good faith for benefit of a person without consent,Section 30: Act done in good faith for benefit of a person without consent,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=30&orderno=
BNSS-30,30,Powers of superior officers of police,Section 30: Powers of superior officers of police,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=30&orderno=
EVIDENCE-30,30,"Relevancy of statements in maps, charts and plans","Section 30: Relevancy of statements in maps, charts and plans",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=30&orderno=
BNS-300,300,Disturbing religious assembly,Section 300: Disturbing religious assembly,Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=300&orderno=
BNSS-300,300,Non-application of Chapter,Section 300: Non-application of Chapter,Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=300&orderno=
BNS-301,301,"Trespassing on burial places, etc","Section 301: Trespassing on burial places, etc",Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=301&orderno=
BNSS-301,301,Definitions,Section 301: Definitions,Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=301&orderno=
BNS-302,302,"Uttering words, etc","Section 302: Uttering words, etc",Of Offences Against Property,Death or Life Imprisonment,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=302&orderno=
BNSS-302,302,Power to require attendance of prisoners,Section 302: Power to require attendance of prisoners,Of Offences Against Property,Death or Life Imprisonment,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=302&orderno=
BNS-303,303,Theft,Section 303: Theft,Of Offences Against Property,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=303&orderno=
